houseid,is_mail,wthhfin5d_hi,wthhfin5d_nohol_hi,numadlt,smplsrce,homeown,hometype,rail,census_d,census_r,hh_hisp,drvrcnt,cnttdhh,cdivmsar,flag100,hhfaminc,hhfaminc_imp,hh_race,hhsize,hhvehcnt,hhrelatd,hhresp,lif_cyc,msacat,msasize,travday,urban,urbansize,urbrur,ppt517,youngchild,oamultadd1,oamultadd2,resp_cnt,confirmage,confirmedhome_addr1,confirmedhome_city,confirmedhome_formattedaddr,confirmedhome_latitude,confirmedhome_locname,confirmedhome_loctype,confirmedhome_longitude,confirmedhome_state,confirmedhome_streetaddr,confirmedhome_zip,urbrur_2010,tdaydate,wrkcount,stratumid_addon,home_geom_nrel,home_geom_nrel_zipcode
6000136765,2,46.73450924,0,2,3,3,3,2,9,4,2,0,0,92,1,6,6,1,2,0,1,1,2,2,4,2,1,3,1,0,0,5,3,2,1,,Honolulu,,,,1,,HI,,96826,1,202209,0,5001,,96826
6000136773,2,85.43261963,83.18839499,2,3,1,3,2,9,4,2,2,2,92,1,5,5,3,2,2,1,1,2,2,4,3,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96826,1,202209,2,5001,,96826
6000136788,2,82.09324758,84.6392686,1,3,3,3,2,9,4,2,1,0,92,1,5,5,3,1,2,2,1,9,2,4,5,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96817,1,202210,0,5001,,96817
6000136797,2,82.17042668,85.907176,2,3,1,3,2,9,4,1,2,4,92,1,10,10,1,2,2,2,1,2,2,4,2,1,3,1,0,0,2,3,2,1,,Honolulu,,,,1,,HI,,96822,1,202209,2,5001,,96822
6000136804,2,167.6515609,159.7065048,1,3,3,3,2,9,4,2,1,9,92,1,10,10,1,1,1,2,1,1,2,4,4,1,3,1,0,0,5,3,1,1,,Honolulu,,,,1,,HI,,96815,1,202209,0,5001,,96815
6000136809,2,231.6663173,223.2716328,1,3,3,3,2,9,4,2,0,0,92,1,1,1,3,1,0,2,1,9,2,4,3,1,3,1,0,0,5,3,1,1,,Honolulu,,,,1,,HI,,96814,1,202209,1,5001,,96814
6000136816,2,279.474546,280.5273857,4,3,4,3,2,9,4,2,1,5,92,1,1,1,5,6,0,1,1,6,2,4,3,1,3,1,2,0,2,1,6,1,,Waipahu,,,,1,,HI,,96797,1,202209,0,5001,,96797
6000136820,2,16.14462693,0,1,3,3,3,2,9,4,2,0,4,92,1,5,5,1,1,1,2,1,9,2,4,2,1,3,1,0,0,2,3,1,1,,Honolulu,,,,1,,HI,,96814,1,202210,0,5001,,96826
6000136827,2,31.70454477,33.69031184,2,3,1,3,2,9,4,2,2,7,92,1,9,9,1,2,2,1,1,10,2,4,5,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96815,1,202210,1,5001,,96815
6000136830,2,49.65302808,53.9788386,2,3,3,3,2,9,4,2,2,8,92,1,6,6,1,2,1,1,1,2,2,4,4,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96826,1,202211,2,5001,,96826
6000136843,2,82.63088381,79.35841393,2,3,1,3,2,9,4,2,1,0,92,1,4,4,3,2,1,1,1,10,2,4,4,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96826,1,202210,0,5001,,96826
6000136846,2,36.91926008,39.10650153,2,3,3,3,2,9,4,1,0,0,92,1,6,6,2,2,0,1,1,2,2,4,2,1,3,1,0,0,2,2,2,1,,Honolulu,,,,1,,HI,,96822,1,202210,0,5001,,96822
6000136859,2,279.474546,280.5273857,2,3,1,2,2,9,4,2,2,5,92,1,6,6,3,2,2,1,1,2,2,4,3,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96813,1,202209,1,5001,,96813
6000136866,2,157.372446,180.0672666,1,3,1,3,2,9,4,2,1,4,92,1,5,5,1,1,1,2,1,1,2,4,6,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96822,1,202209,1,5001,,96822
6000136877,2,244.5067214,231.7980059,1,3,1,1,2,9,4,2,1,0,92,1,5,5,5,5,2,1,1,3,2,4,4,1,3,1,4,0,1,-1,5,1,,Waianae,,,,1,,HI,,96792,1,202209,0,5001,,96792
6000136883,2,7.259342854,7.634066733,1,3,1,2,2,9,4,2,1,4,92,1,5,5,1,1,1,2,1,9,2,4,2,1,3,1,0,0,5,3,1,1,,Honolulu,,,,1,,HI,,96826,1,202210,1,5001,,96826
6000136893,2,97.58382319,95.92786251,2,3,3,2,2,9,4,2,2,3,92,1,6,6,1,2,2,1,1,2,2,4,3,1,1,1,0,0,1,-1,2,1,,Kailua,,,,1,,HI,,96734,1,202210,2,5001,,96734
6000136900,2,142.0211862,168.6913147,2,3,4,3,2,9,4,2,2,0,92,1,6,6,1,2,0,1,1,10,2,4,6,1,3,1,0,0,5,3,2,1,,Honolulu,,,,1,,HI,,96818,1,202209,1,5001,,96818
6000136914,2,18.96284111,20.11028998,2,3,3,3,2,9,4,2,0,7,92,1,3,3,1,2,0,1,1,2,2,4,3,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96822,1,202211,1,5001,,96822
6000136919,2,166.3544365,162.5687897,2,3,3,3,2,9,4,2,2,9,92,1,5,5,3,2,2,1,1,2,2,4,3,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96826,1,202209,2,5001,,96826
6000136929,2,53.56389838,50.80656345,1,3,1,3,2,9,4,2,1,2,92,1,7,7,3,1,1,2,1,9,2,4,3,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96814,1,202210,0,5001,,96814
6000136960,2,65.9297352,77.51917195,2,3,2,1,2,9,4,2,2,6,92,1,7,7,1,2,2,1,1,10,2,4,6,1,1,1,0,0,1,-1,2,1,,Kailua,,,,1,,HI,,96734,1,202209,0,5001,,96734
6000136978,2,72.75395523,72.08809316,2,3,1,3,2,9,4,2,2,3,92,1,9,9,3,2,2,1,1,10,2,4,3,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96817,1,202209,2,5001,,96817
6000137010,2,54.55853456,51.55142106,2,3,3,2,2,9,4,2,2,8,92,1,6,6,1,3,2,1,1,4,2,4,4,1,3,1,0,1,1,-1,2,1,,Wahiawa,,,,1,,HI,,96786,1,202210,1,5001,,96786
6000137015,2,18.97914098,0,1,3,1,3,2,9,4,2,1,2,92,1,8,8,3,1,2,2,1,1,2,4,2,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96814,1,202210,1,5001,,96814
6000137018,2,143.6950741,0,4,3,3,3,2,9,4,2,3,10,92,1,5,5,3,4,2,1,1,8,2,4,2,1,3,1,0,0,1,-1,4,1,,Honolulu,,,,1,,HI,,96816,1,202209,3,5001,,96816
6000137026,2,110.6589219,116.1783577,1,3,1,1,2,9,4,2,1,0,92,1,9,9,3,1,1,2,1,9,2,4,5,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96816,1,202209,0,5001,,96816
6000137039,2,75.8637537,87.19201902,2,3,3,3,2,9,4,2,3,2,92,2,7,7,1,6,2,1,1,4,2,4,6,1,3,1,2,2,5,2,3,1,,Honolulu,,,,1,,HI,,96814,1,202210,3,5001,,96814
6000137045,2,278.2463551,266.4520195,2,3,3,3,2,9,4,1,2,15,92,1,4,4,1,2,1,1,1,2,2,4,4,1,3,1,0,0,5,3,2,1,,Honolulu,,,,1,,HI,,96826,1,202209,2,5001,,96826
6000137057,2,268.92893,264.9125389,1,3,3,3,2,9,4,2,0,2,92,1,4,4,3,1,0,2,1,1,2,4,4,1,3,1,0,0,5,3,1,1,,Honolulu,,,,1,,HI,,96819,1,202210,1,5001,,96819
6000137067,2,94.40553704,89.47651067,1,3,1,2,2,9,4,1,1,2,92,1,9,9,1,1,0,2,1,1,2,4,3,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96814,1,202209,1,5001,,96814
6000137077,2,14.46324571,17.32053448,2,3,3,3,2,9,4,2,2,2,92,1,6,6,3,2,2,1,1,2,2,4,2,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96826,1,202211,2,5001,,96826
6000137088,2,198.9325812,191.0022781,2,3,3,3,2,9,4,2,2,7,92,1,11,11,1,2,2,2,1,2,2,4,4,1,3,1,0,0,2,3,2,1,,Honolulu,,,,1,,HI,,96814,1,202210,2,5001,,96813
6000137089,2,11.71974809,12.24818432,1,3,3,3,2,9,4,2,0,6,92,1,5,5,3,1,0,2,1,9,2,4,2,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96826,1,202210,0,5001,,96826
6000137090,2,40.10425477,43.95086466,2,3,2,3,2,9,4,2,2,2,92,1,11,11,1,2,2,1,1,10,2,4,2,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96815,1,202209,0,5001,,96815
6000137091,2,61.98914881,59.48869348,2,3,3,3,2,9,4,2,0,2,92,1,6,6,3,2,0,1,1,2,2,4,3,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96813,1,202210,1,5001,,96813
6000137094,2,102.9654013,111.3363841,2,3,3,2,2,9,4,2,2,10,92,1,6,6,1,2,2,1,1,2,2,4,5,1,3,1,0,0,1,-1,2,1,,City,,,,1,,HI,,96782,1,202209,2,5001,,96782
6000137103,2,230.9217594,209.9607266,1,3,3,3,2,9,4,2,1,0,92,1,4,4,5,1,1,2,1,1,2,4,3,1,3,1,0,0,4,3,1,1,,Honolulu,,,,1,,HI,,96826,1,202210,1,5001,,96826
6000137109,2,112.8230157,120.9843056,2,3,2,3,2,9,4,2,1,2,92,1,6,6,3,2,1,1,1,10,2,4,5,1,3,1,0,0,5,3,2,1,,Honolulu,,,,1,,HI,,96815,1,202209,1,5001,,96815
6000137120,2,100.3811479,97.13457384,1,3,2,3,2,9,4,2,1,4,92,1,1,1,3,1,1,2,1,1,2,4,3,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96826,1,202209,0,5001,,96826
6000137132,2,91.75004792,97.95832001,1,3,3,1,2,9,4,2,1,1,92,1,5,5,2,1,1,2,1,9,2,4,2,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96822,1,202209,0,5001,,96822
6000137153,2,297.1184564,296.9646655,3,3,4,3,2,9,4,2,3,6,92,1,11,11,3,3,2,1,1,10,2,4,4,1,3,1,0,0,1,-1,3,1,,Honolulu,,,,1,,HI,,96814,1,202209,3,5001,,96814
6000137163,2,67.83300319,74.61301564,2,3,3,2,2,9,4,2,2,4,92,1,6,6,1,2,2,1,1,2,2,4,2,1,3,1,0,0,1,-1,2,1,,Barracks,,,,1,,HI,,96857,1,202209,1,5001,,96786
6000137189,2,172.0261675,187.0574164,2,3,3,3,2,9,4,2,1,9,92,1,6,6,1,2,1,1,1,2,2,4,2,1,3,1,0,0,5,3,2,1,,Honolulu,,,,1,,HI,,96814,1,202209,2,5001,,96814
6000137225,2,106.6689994,114.31583,2,3,2,3,2,9,4,2,1,1,92,1,8,8,3,2,1,1,1,2,2,4,5,1,3,1,0,0,5,3,2,1,,Honolulu,,,,1,,HI,,96826,1,202209,1,5001,,96826
6000137230,2,10.3508228,11.04005759,1,3,3,3,2,9,4,2,1,6,92,1,8,8,1,1,1,2,1,9,2,4,2,1,3,1,0,0,5,3,1,1,,Honolulu,,,,1,,HI,,96817,1,202210,0,5001,,96817
6000137244,2,40.34617763,45.69767653,2,3,3,3,2,9,4,2,1,8,92,1,3,3,1,2,1,1,1,2,2,4,6,1,3,1,0,0,5,3,2,1,,Honolulu,,,,1,,HI,,96822,1,202210,1,5001,,96822
6000137268,2,53.28195107,59.41681372,2,3,3,3,2,9,4,2,2,9,92,1,6,6,1,2,1,1,1,2,2,4,2,1,3,1,0,0,5,3,2,1,,Honolulu,,,,1,,HI,,96814,1,202209,0,5001,,96814
6000137273,2,92.20210554,90.46946597,2,3,2,1,2,9,4,2,2,10,92,1,8,8,3,2,4,1,1,2,2,4,4,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96816,1,202209,2,5001,,96816
6000137284,2,252.95901,250.2493752,1,3,1,2,2,9,4,2,1,3,92,1,8,8,3,2,2,1,1,3,2,4,3,1,3,1,0,1,5,3,1,1,,Aiea,,,,1,,HI,,96701,1,202210,1,5001,,96701
6000137293,2,48.68740592,50.02496542,1,3,2,2,2,9,4,2,1,2,92,1,6,6,3,1,1,2,1,9,2,4,5,1,3,1,0,0,5,3,1,1,,Honolulu,,,,1,,HI,,96813,1,202210,0,5001,,96813
6000137315,2,194.7767417,194.0649925,2,3,3,2,2,9,4,2,2,8,92,1,5,5,1,4,2,1,1,4,2,4,3,1,3,1,0,2,1,-1,2,1,,Barracks,,,,1,,HI,,96857,1,202209,1,5001,,96786
6000137328,2,30.67548007,33.58089595,2,3,3,3,2,9,4,2,2,2,92,1,7,7,1,2,1,1,1,2,2,4,2,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96813,1,202209,2,5001,,96813
6000137336,2,258.40873,268.5923391,2,3,1,3,2,9,4,2,2,2,92,1,11,11,1,4,1,1,1,4,2,4,6,1,3,1,0,2,1,-1,2,1,,Honolulu,,,,1,,HI,,96815,1,202210,2,5001,,96815
6000137354,2,273.2194656,282.9093094,2,3,3,3,2,9,4,2,2,7,92,1,7,7,1,2,2,1,1,10,2,4,5,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96826,1,202209,1,5001,,96826
6000137356,2,138.9660675,137.4947399,5,3,2,3,2,9,4,2,2,6,92,1,8,8,3,5,1,1,1,8,2,4,3,1,3,1,0,0,5,1,5,1,,Honolulu,,,,1,,HI,,96813,1,202209,2,5001,,96813
6000137368,2,22.50551623,25.74636651,2,3,3,3,2,9,4,1,3,5,92,1,6,6,1,3,1,1,1,8,2,4,2,1,3,1,1,0,3,1,3,1,,Honolulu,,,,1,,HI,,96822,1,202211,2,5001,,96822
6000137373,2,58.07111673,60.80800007,1,3,1,3,2,9,4,2,0,1,92,1,3,3,3,1,0,2,1,1,2,4,2,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96814,1,202209,1,5001,,96814
6000137374,2,133.5122076,139.965182,1,3,2,3,2,9,4,2,1,4,92,1,-7,6,3,1,1,2,1,1,2,4,5,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96822,1,202209,1,5001,,96822
6000137385,2,132.7641135,140.2151656,2,3,1,3,2,9,4,2,2,5,92,1,7,7,3,2,2,1,1,2,2,4,5,1,3,1,0,0,5,3,2,1,,Honolulu,,,,1,,HI,,96817,1,202209,2,5001,,96817
6000137392,2,54.22960387,60.2301872,1,3,2,2,2,9,4,2,1,2,92,1,6,6,3,1,1,2,1,1,2,4,6,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96815,1,202210,1,5001,,96815
6000137397,2,20.18700465,21.35286762,1,3,3,3,2,9,4,2,0,2,92,1,6,6,1,1,0,2,1,1,2,4,3,1,3,1,0,0,5,3,1,1,,Honolulu,,,,1,,HI,,96815,1,202211,1,5001,,96815
6000137411,2,178.3650206,193.350539,2,3,3,3,2,9,4,2,1,4,92,1,5,5,3,2,1,1,1,10,2,4,2,1,3,1,0,0,2,3,2,1,,Honolulu,,,,1,,HI,,96814,1,202209,1,5001,,96814
6000137416,2,31.92303216,35.01492636,2,3,3,3,2,9,4,2,2,4,92,1,1,1,1,2,2,1,1,2,2,4,2,1,3,1,0,0,2,3,2,1,,Honolulu,,,,1,,HI,,96815,1,202209,2,5001,,96815
6000137420,2,59.05910995,62.77692562,2,3,3,3,2,9,4,2,2,9,92,1,6,6,5,4,2,1,1,6,2,4,2,1,3,1,2,0,1,-1,4,1,,Beach,,,,1,,HI,,96706,2,202209,1,5001,,96706
6000137421,2,297.1184564,296.9646655,1,3,3,3,2,9,4,2,0,6,92,1,3,3,97,1,0,2,1,1,2,4,4,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96815,1,202209,0,5001,,96815
6000137432,2,37.45256978,35.32315116,1,3,3,3,2,9,4,2,0,0,92,1,1,1,3,1,0,2,1,9,2,4,4,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96817,1,202210,0,5001,,96817
6000137436,2,95.4951218,91.60404999,2,3,2,3,2,9,4,2,2,4,92,1,11,11,3,2,2,1,1,2,2,4,3,1,3,1,0,0,2,1,2,1,,Honolulu,,,,1,,HI,,96822,1,202210,2,5001,,96822
6000137439,2,135.3153914,128.7240013,1,3,3,3,2,9,4,2,1,2,92,1,9,9,3,1,1,2,1,1,2,4,4,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96815,1,202209,1,5001,,96815
6000137445,2,189.3821493,205.9393378,1,3,3,3,2,9,4,2,0,3,92,1,2,2,1,1,0,2,1,1,2,4,6,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96813,1,202210,1,5001,,96813
6000137452,2,13.38588583,14.46467371,2,3,3,1,2,9,4,2,2,5,92,1,7,7,1,2,2,1,1,2,2,4,2,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96818,1,202210,2,5001,,96818
6000137454,2,141.6938374,136.3909245,1,3,1,3,2,9,4,2,1,2,92,1,10,10,1,1,1,2,1,9,2,4,4,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96814,1,202209,1,5001,,96814
6000137466,2,38.01075971,35.57058107,2,3,3,3,2,9,4,2,1,6,92,1,5,5,5,2,1,1,1,2,2,4,3,1,3,1,0,0,2,1,2,1,,Honolulu,,,,1,,HI,,96826,1,202210,1,5001,,96826
6000137477,2,24.84077247,26.84798003,1,3,2,2,2,9,4,2,1,0,92,1,6,6,1,1,1,2,1,9,2,4,2,1,3,1,0,0,5,3,1,1,,Honolulu,,,,1,,HI,,96822,1,202209,0,5001,,96822
6000137481,2,28.34323542,30.37633112,2,3,1,3,2,9,4,2,1,4,92,1,8,8,3,2,1,1,1,2,2,4,4,1,3,1,0,0,2,1,2,1,,Honolulu,,,,1,,HI,,96814,1,202211,2,5001,,96814
6000137485,2,22.06561816,0,2,3,1,3,2,9,4,2,1,0,92,1,8,8,1,2,1,1,1,10,2,4,2,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96826,1,202209,1,5001,,96826
6000137513,2,78.90275456,84.40842052,1,3,3,3,2,9,4,2,1,2,92,1,5,5,3,1,0,2,1,1,2,4,2,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96814,1,202209,0,5001,,96814
6000137529,2,79.64415884,76.5824548,2,3,3,3,2,9,4,2,2,6,92,1,5,5,1,2,1,1,1,2,2,4,4,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96822,1,202210,2,5001,,96822
6000137598,2,100.3969304,105.9395962,1,3,3,3,2,9,4,2,1,6,92,1,5,5,3,1,1,2,1,1,2,4,2,1,3,1,0,0,1,-1,1,1,,Honolulu,,,,1,,HI,,96822,1,202209,1,5001,,96822
6000137608,2,258.40873,268.5923391,2,3,3,3,2,9,4,2,0,0,92,1,1,1,3,2,0,1,1,2,2,4,6,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96826,1,202210,0,5001,,96826
6000137616,2,15.16656701,16.23415689,1,3,1,1,2,9,4,2,1,5,92,1,8,8,3,2,1,1,1,5,2,4,2,1,3,1,1,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96826,1,202210,1,5001,,96816
6000137622,2,21.78357435,22.89869073,1,3,3,3,2,9,4,2,0,2,92,1,3,3,2,2,0,1,1,5,2,4,2,1,3,1,1,0,1,-1,2,1,,City,,,,1,,HI,,96782,1,202210,1,5001,,96782
6000137661,2,214.6144416,213.0291433,2,3,1,3,2,9,4,2,2,8,92,1,9,9,1,4,2,1,1,4,2,4,3,1,3,1,2,0,1,-1,4,1,,Honolulu,,,,1,,HI,,96814,1,202209,1,5001,,96814
6000137663,2,279.474546,280.5273857,1,3,3,3,2,9,4,2,1,2,92,1,7,7,3,1,1,2,1,9,2,4,3,1,3,1,0,0,2,3,1,1,,Honolulu,,,,1,,HI,,96822,1,202209,0,5001,,96822
6000137664,2,90.59841249,97.2437731,2,3,3,2,2,9,4,2,2,2,92,1,6,6,1,2,1,1,1,2,2,4,2,1,3,1,0,0,1,-1,2,1,,Wahiawa,,,,1,,HI,,96786,1,202210,0,5001,,96786
6000137689,2,85.47681259,89.35173152,2,3,3,2,2,9,4,2,2,2,92,1,5,5,1,3,2,1,1,4,2,4,5,1,3,1,0,1,1,-1,2,1,,Honolulu,,,,1,,HI,,96818,1,202209,0,5001,,96818
6000137690,2,259.6738846,293.88352,1,3,3,2,2,9,4,2,1,6,92,1,11,11,3,1,1,2,1,1,2,4,6,1,3,1,0,0,5,3,1,1,,Honolulu,,,,1,,HI,,96814,1,202209,1,5001,,96814
6000137696,2,28.09569285,30.3475178,1,3,1,3,2,9,4,2,1,2,92,1,8,8,1,1,2,2,1,1,2,4,2,1,3,1,0,0,5,3,1,1,,Honolulu,,,,1,,HI,,96815,1,202209,1,5001,,96815
6000137706,2,9.548159847,10.18220105,2,3,1,3,2,9,4,2,2,6,92,1,4,4,1,2,2,2,1,2,2,4,2,1,3,1,0,0,1,-1,2,1,,Honolulu,,,,1,,HI,,96822,1,202210,2,5001,,96822
6000137717,2,59.60335489,58.16486845,2,3,3,2,2,9,4,2,2,2,92,1,5,5,1,2,2,1,1,2,2,4,4,1,3,1,0,0,1,-1,2,1,,Barracks,,,,1,,HI,,96857,1,202209,1,5001,,96786
6000137719,2,67.1379961,71.6688771,1,3,3,3,2,9,4,2,1,0,92,1,1,1,3,1,1,2,1,1,2,4,2,1,3,1,0,0,1,-1,1,1,,Waipahu,,,,1,,HI,,96797,1,202209,0,5001,,96797
6000137722,2,4.875129992,5.177964089,2,3,3,3,2,9,4,2,1,1,92,1,3,3,1,2,1,2,1,10,2,4,2,1,3,1,0,0,5,3,2,1,,Waipahu,,,,1,,HI,,96797,1,202210,1,5001,,96797
6000137732,2,34.80753455,38.03713778,2,3,1,3,2,9,4,2,2,2,92,1,6,6,3,2,2,1,1,10,2,4,2,1,3,1,0,0,5,3,2,1,,Honolulu,,,,1,,HI,,96813,1,202209,1,5001,,96813
6000137735,2,15.53795124,16.35709697,1,3,3,3,2,9,4,2,0,2,92,1,6,6,3,1,0,2,1,9,2,4,2,1,3,1,0,0,5,3,1,1,,Honolulu,,,,1,,HI,,96826,1,202210,0,5001,,96826
