PERSID,UNO,IVTT,OVTT,TOTTIME,TOTCOST,TDUMMY,CHOSEN,HHSIZE,MALE,NUMVEH,WORKERS,VEHWORK,NEWINC,AEMPDENS,POPDENS,DIST,AGE,WEIGHT,UNOTRN,UNOSHR 
14,1,13.5,5.9,19.4,0.2,1,0,3,1,2,2,1,70000,13.49,16.03,4,65,1.8362,0,1
14,1,30.8,32.6,63.4,1,1,0,3,1,2,2,1,70000,13.49,16.03,4,65,1.8362,1,0
15,1,10,8,18,0.32,0,1,7,1,3,5,0.6,50000,106.7,29.56,3.3,49,1.8362,0,0
15,1,12.5,10.3,22.8,0.16,0,0,7,1,3,5,0.6,50000,106.7,29.56,3.3,49,1.8362,0,1
15,1,19.6,14.6,34.2,0.75,0,0,7,1,3,5,0.6,50000,106.7,29.56,3.3,49,1.8362,1,0
16,1,10,8,18,0.1,0,1,7,1,3,5,0.6,50000,106.7,29.56,1,49,1.8362,0,0
16,1,12.9,10.4,23.3,0.05,0,0,7,1,3,5,0.6,50000,106.7,29.56,1,49,1.8362,0,1
16,1,18.5,21.5,40,0.75,0,0,7,1,3,5,0.6,50000,106.7,29.56,1,49,1.8362,1,0
17,1,14,7,21,0.56,0,1,7,1,3,5,0.6,50000,297.48,29.56,5.7,49,1.8362,0,0
17,1,17.7,9.2,26.9,0.28,0,0,7,1,3,5,0.6,50000,297.48,29.56,5.7,49,1.8362,0,1
17,1,27.9,18.2,46.1,0.75,0,0,7,1,3,5,0.6,50000,297.48,29.56,5.7,49,1.8362,1,0
18,1,3,7,10,1.95,0,0,1,0,1,1,1,30000,46.74,19.83,1,54,0.2982,0,0
18,1,5.2,9.4,14.6,0.98,0,0,1,0,1,1,1,30000,46.74,19.83,1,54,0.2982,0,1
18,1,6.4,4,10.4,0.5,0,1,1,0,1,1,1,30000,46.74,19.83,1,54,0.2982,1,0
19,1,3,7,10,1.95,0,0,1,0,1,1,1,30000,46.74,19.83,1,54,0.2982,0,0
19,1,4.9,9.2,14.1,0.98,0,0,1,0,1,1,1,30000,46.74,19.83,1,54,0.2982,0,1
19,1,4.2,3.5,7.7,0.5,0,1,1,0,1,1,1,30000,46.74,19.83,1,54,0.2982,1,0
20,1,12,5,17,0.33,0,0,5,1,4,5,0.8,50000,78.24,33.82,3.4,23,0.6426,0,0
20,1,14.6,7,21.6,0.17,0,1,5,1,4,5,0.8,50000,78.24,33.82,3.4,23,0.6426,0,1
20,1,11.6,19.2,30.8,0.75,0,0,5,1,4,5,0.8,50000,78.24,33.82,3.4,23,0.6426,1,0
21,1,12,5,17,0.33,0,0,5,1,4,5,0.8,50000,78.24,33.82,3.4,23,0.6426,0,0
21,1,14.6,7,21.6,0.17,0,1,5,1,4,5,0.8,50000,78.24,33.82,3.4,23,0.6426,0,1
21,1,11.6,12.5,24.1,0.75,0,0,5,1,4,5,0.8,50000,78.24,33.82,3.4,23,0.6426,1,0
22,1,13,5,18,0.36,0,0,5,1,4,5,0.8,50000,78.24,33.82,3.7,23,0.6426,0,0
22,1,15.7,7.3,23,0.18,0,1,5,1,4,5,0.8,50000,78.24,33.82,3.7,23,0.6426,0,1
22,1,11.6,19.2,30.8,0.75,0,0,5,1,4,5,0.8,50000,78.24,33.82,3.7,23,0.6426,1,0
23,1,12,5,17,0.33,0,0,5,1,4,5,0.8,50000,78.24,33.82,3.4,23,0.6426,0,0
23,1,14.6,7,21.6,0.17,0,1,5,1,4,5,0.8,50000,78.24,33.82,3.4,23,0.6426,0,1
23,1,11.6,24.6,36.2,0.75,0,0,5,1,4,5,0.8,50000,78.24,33.82,3.4,23,0.6426,1,0
24,1,13,5,18,0.36,0,0,5,1,4,5,0.8,50000,78.24,33.82,3.7,23,0.6426,0,0
24,1,15.7,7.3,23,0.18,0,1,5,1,4,5,0.8,50000,78.24,33.82,3.7,23,0.6426,0,1
24,1,11.6,24.6,36.2,0.75,0,0,5,1,4,5,0.8,50000,78.24,33.82,3.7,23,0.6426,1,0
25,1,12,5,17,1.83,0,0,5,0,4,5,0.8,50000,78.24,33.82,3.4,23,0.6426,0,0
25,1,14.6,7,21.6,0.92,0,1,5,0,4,5,0.8,50000,78.24,33.82,3.4,23,0.6426,0,1
25,1,11.6,24.6,36.2,0.75,0,0,5,0,4,5,0.8,50000,78.24,33.82,3.4,23,0.6426,1,0
26,1,13,5,18,1.86,0,0,5,0,4,5,0.8,50000,78.24,33.82,3.7,23,0.6426,0,0
26,1,15.7,7.3,23,0.93,0,1,5,0,4,5,0.8,50000,78.24,33.82,3.7,23,0.6426,0,1
26,1,11.6,25.6,37.2,0.75,0,0,5,0,4,5,0.8,50000,78.24,33.82,3.7,23,0.6426,1,0
27,1,21,8,29,5.68,0,0,4,0,1,2,0.5,70000,471.01,13.93,7.3,40,0.2982,0,0
27,1,24.1,10.4,34.5,2.84,0,0,4,0,1,2,0.5,70000,471.01,13.93,7.3,40,0.2982,0,1
27,1,20.9,27.3,48.2,1,0,1,4,0,1,2,0.5,70000,471.01,13.93,7.3,40,0.2982,1,0
28,1,5,8,13,0.24,0,0,4,0,2,2,1,15000,11.53,75.67,1.7,47,0.2982,0,0
28,1,6.8,10.4,17.2,0.13,0,0,4,0,2,2,1,15000,11.53,75.67,1.7,47,0.2982,0,1
28,1,4.3,15,19.3,0.5,0,1,4,0,2,2,1,15000,11.53,75.67,1.7,47,0.2982,1,0
29,1,5,8,13,0.24,0,0,4,0,2,2,1,15000,11.53,75.67,1.7,47,0.2982,0,0
29,1,6.8,10.4,17.2,0.13,0,0,4,0,2,2,1,15000,11.53,75.67,1.7,47,0.2982,0,1
29,1,8.2,11.4,19.6,0.5,0,1,4,0,2,2,1,15000,11.53,75.67,1.7,47,0.2982,1,0
30,1,14,9,23,4.08,0,0,2,0,1,2,0.5,70000,297.48,43.15,4.1,36,0.2982,0,0
30,1,16.8,11.4,28.2,2.04,0,0,2,0,1,2,0.5,70000,297.48,43.15,4.1,36,0.2982,0,1
30,1,20.8,12.5,33.3,0.75,0,1,2,0,1,2,0.5,70000,297.48,43.15,4.1,36,0.2982,1,0
31,1,15,10,25,4.11,0,0,2,0,1,2,0.5,70000,297.48,43.15,4.4,36,0.2982,0,0
31,1,17.8,12.5,30.3,2.05,0,0,2,0,1,2,0.5,70000,297.48,43.15,4.4,36,0.2982,0,1
31,1,18.4,9.4,27.8,0.75,0,1,2,0,1,2,0.5,70000,297.48,43.15,4.4,36,0.2982,1,0
32,1,25,4,29,1.19,1,0,2,1,1,2,0.5,115000,4.99,41.92,12.1,30,0.6426,0,0
32,1,28.7,5.9,34.6,0.59,1,1,2,1,1,2,0.5,115000,4.99,41.92,12.1,30,0.6426,0,1
32,1,32.5,62.6,95.1,2.4,1,0,2,1,1,2,0.5,115000,4.99,41.92,12.1,30,0.6426,1,0
33,1,25,4,29,1.19,1,0,2,1,1,2,0.5,115000,4.99,41.92,12.1,33,0.6426,0,0
33,1,28.7,5.9,34.6,0.59,1,1,2,1,1,2,0.5,115000,4.99,41.92,12.1,33,0.6426,0,1
33,1,32.5,62.6,95.1,2.4,1,0,2,1,1,2,0.5,115000,4.99,41.92,12.1,33,0.6426,1,0
34,1,22,8,30,3.19,1,0,3,0,2,2,1,30000,982.06,19.88,7,25,0.6426,0,0
34,1,25.1,10.4,35.5,1.59,1,1,3,0,2,2,1,30000,982.06,19.88,7,25,0.6426,0,1
34,1,32.1,21.8,53.9,1.25,1,0,3,0,2,2,1,30000,982.06,19.88,7,25,0.6426,1,0
35,1,26,5,31,1.37,1,1,2,1,2,2,1,70000,1.61,39.34,14,28,1.8362,0,0
35,1,29.8,7,36.8,0.69,1,0,2,1,2,2,1,70000,1.61,39.34,14,28,1.8362,0,1
35,1,25.7,29.7,55.4,3,1,0,2,1,2,2,1,70000,1.61,39.34,14,28,1.8362,1,0
36,1,13,8,21,5.28,0,0,2,0,2,2,1,70000,335.99,39.34,3.3,26,0.2982,0,0
36,1,15.7,10.4,26.1,2.64,0,0,2,0,2,2,1,70000,335.99,39.34,3.3,26,0.2982,0,1
36,1,6.2,15.4,21.6,0.75,0,1,2,0,2,2,1,70000,335.99,39.34,3.3,26,0.2982,1,0
37,1,13,8,21,5.31,0,0,2,0,2,2,1,70000,335.99,39.34,3.6,26,0.2982,0,0
37,1,15.7,10.3,26,2.65,0,0,2,0,2,2,1,70000,335.99,39.34,3.6,26,0.2982,0,1
37,1,6.2,19.5,25.7,0.75,0,1,2,0,2,2,1,70000,335.99,39.34,3.6,26,0.2982,1,0
38,1,16,9,25,4.16,0,0,2,1,1,1,1,15000,982.06,75.67,4.9,23,0.2982,0,0
38,1,18.8,11.5,30.3,2.08,0,0,2,1,1,1,1,15000,982.06,75.67,4.9,23,0.2982,0,1
38,1,26.8,6.9,33.7,0.75,0,1,2,1,1,1,1,15000,982.06,75.67,4.9,23,0.2982,1,0
39,1,23,5,28,0.81,1,1,2,0,2,1,2,30000,4.28,16.12,8.3,30,1.8362,0,0
39,1,26.5,7,33.5,0.41,1,0,2,0,2,1,2,30000,4.28,16.12,8.3,30,1.8362,0,1
39,1,27.5,42.5,70,2.4,1,0,2,0,2,1,2,30000,4.28,16.12,8.3,30,1.8362,1,0
40,1,7,5,12,0.24,1,1,2,1,1,1,1,30000,10.4,10.92,2.4,61,1.8362,0,0
40,1,9.2,7,16.2,0.12,1,0,2,1,1,1,1,30000,10.4,10.92,2.4,61,1.8362,0,1
40,1,11.9,24.6,36.5,1,1,0,2,1,1,1,1,30000,10.4,10.92,2.4,61,1.8362,1,0
41,1,17,9,26,5.36,0,0,3,0,1,2,0.5,30000,175.08,39.28,4.1,35,0.2982,0,0
41,1,20,11.4,31.4,2.68,0,0,3,0,1,2,0.5,30000,175.08,39.28,4.1,35,0.2982,0,1
41,1,13.3,14.3,27.6,0.75,0,1,3,0,1,2,0.5,30000,175.08,39.28,4.1,35,0.2982,1,0
42,1,8,7,15,0.89,0,0,2,0,2,1,2,30000,32.92,33.82,2.2,43,0.2982,0,0
42,1,10.4,9.4,19.8,0.45,0,0,2,0,2,1,2,30000,32.92,33.82,2.2,43,0.2982,0,1
42,1,5.3,22.2,27.5,0.75,0,1,2,0,2,1,2,30000,32.92,33.82,2.2,43,0.2982,1,0
43,1,9,7,16,0.89,0,0,2,0,2,1,2,30000,32.92,33.82,2.2,43,0.2982,0,0
43,1,11.5,9.4,20.9,0.45,0,0,2,0,2,1,2,30000,32.92,33.82,2.2,43,0.2982,0,1
43,1,5.6,21,26.6,0.75,0,1,2,0,2,1,2,30000,32.92,33.82,2.2,43,0.2982,1,0
44,1,15,6,21,0.58,1,0,3,1,1,2,0.5,50000,96.49,7.24,5.9,37,0.6426,0,0
44,1,17.9,8.1,26,0.29,1,1,3,1,1,2,0.5,50000,96.49,7.24,5.9,37,0.6426,0,1
44,1,10.8,37,47.8,0.75,1,0,3,1,1,2,0.5,50000,96.49,7.24,5.9,37,0.6426,1,0
45,1,12,6,18,0.51,1,0,3,1,1,2,0.5,50000,96.49,7.24,5.2,37,0.6426,0,0
45,1,14.6,8.4,23,0.26,1,1,3,1,1,2,0.5,50000,96.49,7.24,5.2,37,0.6426,0,1
45,1,15.3,32.7,48,1.25,1,0,3,1,1,2,0.5,50000,96.49,7.24,5.2,37,0.6426,1,0
46,1,20,5,25,0.7,1,0,5,1,2,2,1,90000,8,10.92,7.1,42,0.6426,0,0
46,1,23.3,7,30.3,0.35,1,1,5,1,2,2,1,90000,8,10.92,7.1,42,0.6426,0,1
46,1,29.4,40,69.4,1.75,1,0,5,1,2,2,1,90000,8,10.92,7.1,42,0.6426,1,0
47,1,28,4,32,1.19,1,1,4,1,3,3,1,70000,5.05,15.95,12.1,45,1.8362,0,0
47,1,34.7,5.6,40.3,0.59,1,0,4,1,3,3,1,70000,5.05,15.95,12.1,45,1.8362,0,1
47,1,33.7,32.7,66.4,2,1,0,4,1,3,3,1,70000,5.05,15.95,12.1,45,1.8362,1,0
48,1,24,7,31,5.63,0,0,4,0,3,3,1,70000,952.15,15.95,6.8,20,0.2982,0,0
48,1,27.2,9.4,36.6,2.82,0,0,4,0,3,3,1,70000,952.15,15.95,6.8,20,0.2982,0,1
48,1,15.3,18,33.3,0.75,0,1,4,0,3,3,1,70000,952.15,15.95,6.8,20,0.2982,1,0
49,1,23,7,30,5.69,0,0,4,0,3,3,1,70000,952.15,15.95,7.5,20,0.2982,0,0
49,1,26.5,9.2,35.7,2.84,0,0,4,0,3,3,1,70000,952.15,15.95,7.5,20,0.2982,0,1
49,1,14.3,13.1,27.4,0.75,0,1,4,0,3,3,1,70000,952.15,15.95,7.5,20,0.2982,1,0
50,1,18,8,26,5.7,0,0,3,1,2,1,2,50000,471.01,3.63,7.6,51,0.2982,0,0
50,1,21.1,10.3,31.4,2.85,0,0,3,1,2,1,2,50000,471.01,3.63,7.6,51,0.2982,0,1
50,1,18.2,18.5,36.7,1.25,0,1,3,1,2,1,2,50000,471.01,3.63,7.6,51,0.2982,1,0
51,1,20,8,28,5.66,0,0,3,1,2,1,2,50000,471.01,3.63,7.1,51,0.2982,0,0
51,1,23,10.4,33.4,2.83,0,0,3,1,2,1,2,50000,471.01,3.63,7.1,51,0.2982,0,1
51,1,17.5,21.7,39.2,1.25,0,1,3,1,2,1,2,50000,471.01,3.63,7.1,51,0.2982,1,0
52,1,18,10,28,5.4,0,0,3,0,1,3,0.3,40380.1,207.47,43.15,4.5,26,0.2982,0,0
52,1,20.9,12.5,33.4,2.7,0,0,3,0,1,3,0.3,40380.1,207.47,43.15,4.5,26,0.2982,0,1
52,1,14.4,16.8,31.2,0.75,0,1,3,0,1,3,0.3,40380.1,207.47,43.15,4.5,26,0.2982,1,0
53,1,18,10,28,0.44,0,0,3,0,1,3,0.3,40380.1,207.47,43.15,4.5,25,0.6426,0,0
53,1,20.9,12.5,33.4,0.22,0,1,3,0,1,3,0.3,40380.1,207.47,43.15,4.5,25,0.6426,0,1
53,1,14.4,16.5,30.9,0.75,0,0,3,0,1,3,0.3,40380.1,207.47,43.15,4.5,25,0.6426,1,0
54,1,18,8,26,5.54,0,0,1,0,1,1,1,30000,207.47,40.84,5.9,34,0.2982,0,0
54,1,21.1,10.3,31.4,2.77,0,0,1,0,1,1,1,30000,207.47,40.84,5.9,34,0.2982,0,1
54,1,16.8,23.6,40.4,0.75,0,1,1,0,1,1,1,30000,207.47,40.84,5.9,34,0.2982,1,0
55,1,25,6,31,5.66,0,0,2,0,1,1,1,30000,952.15,16.17,7.1,30,0.2982,0,0
55,1,28.7,8.1,36.8,2.83,0,0,2,0,1,1,1,30000,952.15,16.17,7.1,30,0.2982,0,1
55,1,8.1,18.9,27,2.05,0,1,2,0,1,1,1,30000,952.15,16.17,7.1,30,0.2982,1,0
56,1,27,6,33,5.62,0,0,2,0,1,1,1,30000,952.15,16.17,6.7,30,0.2982,0,0
56,1,30.4,8.4,38.8,2.81,0,0,2,0,1,1,1,30000,952.15,16.17,6.7,30,0.2982,0,1
56,1,8.1,19.4,27.5,2.05,0,1,2,0,1,1,1,30000,952.15,16.17,6.7,30,0.2982,1,0
57,1,12,5,17,0.68,1,0,2,1,1,2,0.5,70000,39.08,75.67,4.7,36,0.2982,0,0
57,1,15.3,6.8,22.1,0.34,1,0,2,1,1,2,0.5,70000,39.08,75.67,4.7,36,0.2982,0,1
57,1,32,12.4,44.4,0.75,1,1,2,1,1,2,0.5,70000,39.08,75.67,4.7,36,0.2982,1,0
58,1,13,6,19,0.63,1,0,2,1,1,2,0.5,70000,39.08,75.67,4.2,36,0.2982,0,0
58,1,15.7,8.4,24.1,0.31,1,0,2,1,1,2,0.5,70000,39.08,75.67,4.2,36,0.2982,0,1
58,1,32.1,13,45.1,0.75,1,1,2,1,1,2,0.5,70000,39.08,75.67,4.2,36,0.2982,1,0
59,1,17,8,25,5.38,0,0,3,0,1,3,0.3,70000,952.15,29.69,4.3,30,0.2982,0,0
59,1,19.9,10.4,30.3,2.69,0,0,3,0,1,3,0.3,70000,952.15,29.69,4.3,30,0.2982,0,1
59,1,6.9,24.7,31.6,0.75,0,1,3,0,1,3,0.3,70000,952.15,29.69,4.3,30,0.2982,1,0
60,1,14,8,22,5.37,0,0,3,0,1,3,0.3,70000,952.15,29.69,4.2,30,0.2982,0,0
60,1,16.8,10.3,27.1,2.68,0,0,3,0,1,3,0.3,70000,952.15,29.69,4.2,30,0.2982,0,1
60,1,8.4,22.4,30.8,0.75,0,1,3,0,1,3,0.3,70000,952.15,29.69,4.2,30,0.2982,1,0
61,1,21,6,27,0.71,1,0,1,1,1,1,1,90000,18.23,32.77,7.2,32,0.6426,0,0
61,1,24.4,8.1,32.5,0.35,1,1,1,1,1,1,1,90000,18.23,32.77,7.2,32,0.6426,0,1
61,1,45.5,59.1,104.6,1.5,1,0,1,1,1,1,1,90000,18.23,32.77,7.2,32,0.6426,1,0
62,1,10,9,19,1,0,0,2,0,1,2,0.5,115000,106.7,35.18,2.6,40,0.2982,0,0
62,1,12.5,11.4,23.9,0.5,0,0,2,0,1,2,0.5,115000,106.7,35.18,2.6,40,0.2982,0,1
62,1,11.4,23,34.4,0.5,0,1,2,0,1,2,0.5,115000,106.7,35.18,2.6,40,0.2982,1,0
63,1,30,4,34,1.09,1,1,2,1,1,2,0.5,115000,2.42,35.18,11.1,36,1.8362,0,0
63,1,33.5,6.3,39.8,0.55,1,0,2,1,1,2,0.5,115000,2.42,35.18,11.1,36,1.8362,0,1
63,1,57.5,45.4,102.9,1.75,1,0,2,1,1,2,0.5,115000,2.42,35.18,11.1,36,1.8362,1,0
64,1,28,4,32,1.17,1,1,2,1,1,2,0.5,115000,2.42,35.18,11.9,36,1.8362,0,0
64,1,32,5.9,37.9,0.58,1,0,2,1,1,2,0.5,115000,2.42,35.18,11.9,36,1.8362,0,1
64,1,49.5,49.9,99.4,1.75,1,0,2,1,1,2,0.5,115000,2.42,35.18,11.9,36,1.8362,1,0
65,1,16,9,25,5.43,0,0,2,1,2,2,1,30000,952.15,37.12,4.8,25,0.2982,0,0
65,1,20.2,11.6,31.8,2.71,0,0,2,1,2,2,1,30000,952.15,37.12,4.8,25,0.2982,0,1
65,1,16.5,21.5,38,0.75,0,1,2,1,2,2,1,30000,952.15,37.12,4.8,25,0.2982,1,0
66,1,17,9,26,5.36,0,0,2,1,2,2,1,30000,952.15,37.12,4.1,25,0.2982,0,0
66,1,20,11.4,31.4,2.68,0,0,2,1,2,2,1,30000,952.15,37.12,4.1,25,0.2982,0,1
66,1,16.5,19.4,35.9,0.9,0,1,2,1,2,2,1,30000,952.15,37.12,4.1,25,0.2982,1,0
67,1,15,7,22,1.5,1,1,3,1,2,2,1,115000,57.6,35.27,5.1,51,1.8362,0,0
67,1,17.8,9.4,27.2,0.75,1,0,3,1,2,2,1,115000,57.6,35.27,5.1,51,1.8362,0,1
67,1,29.4,30.5,59.9,1.25,1,0,3,1,2,2,1,115000,57.6,35.27,5.1,51,1.8362,1,0
68,1,14,7,21,1.08,0,0,4,0,1,3,0.3,115000,149.19,35.27,5.6,31,0.2982,0,0
68,1,17.7,9.2,26.9,0.55,0,0,4,0,1,3,0.3,115000,149.19,35.27,5.6,31,0.2982,0,1
68,1,15.8,25,40.8,0.75,0,1,4,0,1,3,0.3,115000,149.19,35.27,5.6,31,0.2982,1,0
69,1,5,6,11,0.14,0,0,4,0,1,3,0.3,115000,11.54,35.27,1.4,27,0.6426,0,0
69,1,6.8,8,14.8,0.07,0,1,4,0,1,3,0.3,115000,11.54,35.27,1.4,27,0.6426,0,1
69,1,5.1,15.8,20.9,0.5,0,0,4,0,1,3,0.3,115000,11.54,35.27,1.4,27,0.6426,1,0
70,1,5,6,11,0.14,0,0,4,0,1,3,0.3,115000,11.54,35.27,1.4,27,0.6426,0,0
70,1,7,8.1,15.1,0.07,0,1,4,0,1,3,0.3,115000,11.54,35.27,1.4,27,0.6426,0,1
70,1,4.6,15.2,19.8,0.5,0,0,4,0,1,3,0.3,115000,11.54,35.27,1.4,27,0.6426,1,0
71,1,30,4,34,1.97,1,0,2,0,1,1,1,30000,7.36,9.83,20.1,40,0.6426,0,0
71,1,33.5,6.3,39.8,0.98,1,1,2,0,1,1,1,30000,7.36,9.83,20.1,40,0.6426,0,1
71,1,55.3,44.1,99.4,3.75,1,0,2,0,1,1,1,30000,7.36,9.83,20.1,40,0.6426,1,0
72,1,14,7,21,4.29,0,0,2,0,1,2,0.5,30000,5.58,7.98,6.2,27,0.2982,0,0
72,1,16.8,9.2,26,2.14,0,0,2,0,1,2,0.5,30000,5.58,7.98,6.2,27,0.2982,0,1
72,1,8.1,29.9,38,0.75,0,1,2,0,1,2,0.5,30000,5.58,7.98,6.2,27,0.2982,1,0
73,1,5,4,9,0.18,1,1,5,1,3,3,1,54633.6,1.85,6.76,1.8,68,1.8362,0,0
73,1,7.3,6.3,13.6,0.09,1,0,5,1,3,3,1,54633.6,1.85,6.76,1.8,68,1.8362,0,1
73,1,11.4,30.7,42.1,1,1,0,5,1,3,3,1,54633.6,1.85,6.76,1.8,68,1.8362,1,0
74,1,4,4,8,0.18,1,1,5,1,3,3,1,54633.6,1.85,6.76,1.8,68,1.8362,0,0
74,1,5.9,5.9,11.8,0.09,1,0,5,1,3,3,1,54633.6,1.85,6.76,1.8,68,1.8362,0,1
74,1,8.8,22.6,31.4,1,1,0,5,1,3,3,1,54633.6,1.85,6.76,1.8,68,1.8362,1,0
75,1,22,8,30,0.64,1,0,2,0,2,1,2,30000,210.12,16.54,6.5,53,0.6426,0,0
75,1,25.1,10.4,35.5,0.32,1,1,2,0,2,1,2,30000,210.12,16.54,6.5,53,0.6426,0,1
75,1,21.8,20.3,42.1,1.25,1,0,2,0,2,1,2,30000,210.12,16.54,6.5,53,0.6426,1,0
76,1,20,8,28,0.64,1,0,2,0,2,1,2,30000,210.12,16.54,6.5,53,0.6426,0,0
76,1,23.3,10.3,33.6,0.32,1,1,2,0,2,1,2,30000,210.12,16.54,6.5,53,0.6426,0,1
76,1,30.9,19.6,50.5,1.25,1,0,2,0,2,1,2,30000,210.12,16.54,6.5,53,0.6426,1,0
77,1,19,8,27,5.55,0,0,2,0,2,2,1,50000,175.08,19.91,6,42,0.2982,0,0
77,1,22.2,10.3,32.5,2.77,0,0,2,0,2,2,1,50000,175.08,19.91,6,42,0.2982,0,1
77,1,15.4,20,35.4,0.75,0,1,2,0,2,2,1,50000,175.08,19.91,6,42,0.2982,1,0
78,1,18,9,27,5.5,1,0,2,0,1,2,0.5,50000,175.08,21.01,5.5,29,0.2982,0,0
78,1,21.1,11.4,32.5,2.75,1,0,2,0,1,2,0.5,50000,175.08,21.01,5.5,29,0.2982,0,1
78,1,27.5,21.5,49,1.25,1,1,2,0,1,2,0.5,50000,175.08,21.01,5.5,29,0.2982,1,0
79,1,6,7,13,2.07,0,0,5,0,1,2,0.5,70000,57.6,35.06,2.2,44,0.2982,0,0
